BIN-ID	COUNTS	RECURSIVE-COUNTS
7.1.3	15	15
7.1.1001	0	0
7.2	0	11
7.2.1	0	0
7.2.2	3	3
7.2.3	2	2
7.2.4	6	6
7.3	4	4
8	0	135
8.1	0	80
8.1.1	0	31
8.1.1.1	17	17
8.1.1.2	9	9
8.1.1.3	5	5
8.1.2	2	2
8.1.3	14	14
8.1.4	9	9
8.1.5	10	10
8.1.6	2	2
8.1.7	6	6
8.1.8	0	0
8.1.9	6	6
8.1.99	0	0
8.1.1001	0	0
8.1.1002	0	0
8.1.1003	0	0
8.1.1004	0	0
8.1.1005	0	0
8.1.1006	0	0
8.1.1007	0	0
8.1.1008	0	0
8.2	0	38
8.2.3	1	1
8.2.4	0	0
8.2.9	5	5
8.2.10	13	13
8.2.11	12	12
8.2.99	7	7
8.2.1001	0	0
8.2.1002	0	0
8.2.1003	0	0
8.2.1004	0	0
8.2.1005	0	0
8.3	17	17
9	0	193
9.1	0	39
9.1.1	2	7
9.1.1.5	5	5
9.1.2	32	32
9.2	0	19
9.2.1	7	7
9.2.2	6	6
9.2.3	6	6
9.3	3	3
9.4	6	6
9.5	12	12
9.6	20	20
9.7	44	44
9.8	2	2
9.9	47	47
9.99	1	1
9.1001	0	0
10	0	827
10.1	5	113
10.1.1	0	13
10.1.1.1	9	9
10.1.1.2	3	3
10.1.1.20	1	1
10.1.2	8	8
10.1.3	4	4
10.1.4	6	6
10.1.5	20	20
10.1.6	12	12
10.1.7	3	3
10.1.8	1	1
10.1.9	8	8
10.1.10	8	8
10.1.11	0	0
10.1.12	0	7
10.1.12.1	1	1
10.1.12.2	4	4
10.1.12.3	0	0
10.1.12.4	2	2
10.1.20	3	3
10.1.21	10	10
10.1.30	0	5
10.1.30.1	0	0
10.1.30.2	1	1
10.1.30.3	4	4
10.2	25	103
10.2.1	53	53
10.2.2	25	25
10.2.1001	0	0
10.2.1002	0	0
10.2.1003	0	0
10.2.1004	0	0
10.2.1005	0	0
10.2.1006	0	0
10.2.1007	0	0
10.2.1008	0	0
10.2.1009	0	0
10.2.1010	0	0
10.2.1011	0	0
10.2.1012	0	0
10.2.1013	0	0
10.3	11	14
10.3.1	0	0
10.3.1.1	0	0
10.3.2	3	3
10.3.3	0	0
10.3.4	0	0
10.3.5	0	0
10.4	0	1
10.4.1	0	0
10.4.1.1	0	0
10.4.2	0	0
10.4.3	0	1
10.4.3.6	1	1
10.4.4	0	0
10.4.4.1	0	0
10.5	4	71
10.5.1	0	26
10.5.1.1	26	26
10.5.1.2	0	0
10.5.2	3	3
10.5.3	13	13
10.5.4	15	15
10.5.5	10	10
10.6	3	274
10.6.1	59	59
10.6.2	55	55
10.6.3	157	157
10.6.1001	0	0
10.7	117	117
10.8	0	134
10.8.1	102	102
10.8.2	31	31
10.8.99	1	1
11	3	823
11.1	0	187
11.1.1	1	16
11.1.1.1	1	1
11.1.1.2	0	14
11.1.1.2.1	10	10
11.1.1.2.2	0	0
11.1.1.2.3	3	3
11.1.1.2.4	1	1
11.1.2	1	1
11.1.3	16	16
11.1.4	0	0
11.1.5	1	1
11.1.6	2	2
11.1.7	5	5
11.1.8	40	40
11.1.9	18	18
11.1.10	35	35
11.1.11	3	3
11.1.12	11	11
11.1.13	13	13
11.1.15	12	12
11.1.20	2	2
11.1.30	6	6
11.1.31	6	6
11.1.1001	0	0
11.1.1002	0	0
11.1.1003	0	0
11.2	0	30
11.2.1	1	1
11.2.2	0	0
11.2.3	24	24
11.2.4	5	5
11.2.1001	0	0
11.3	47	110
11.3.1	7	7
11.3.2	9	9
11.3.3	10	10
11.3.4	4	4
11.3.5	14	14
11.3.6	6	6
11.3.7	6	6
11.3.8	4	4
11.3.9	3	3
11.3.10	0	0
11.4	10	10
11.5	0	16
11.5.1	1	1
11.5.2	15	15
11.5.3	0	0
11.5.1001	0	0
11.5.1002	0	0
11.6	34	34
11.7	6	6
11.8	44	151
11.8.1	58	66
11.8.1.1	2	2
11.8.1.2	4	4
11.8.1.3	2	2
11.8.2	6	6
11.8.3	5	5
11.8.4	3	3
11.8.5	0	0
11.8.6	0	0
11.8.7	6	6
11.8.8	4	4
11.8.10	17	17
11.8.1001	0	0
11.8.1002	0	0
11.8.1003	0	0
11.8.1004	0	0
11.8.1005	0	0
11.8.1006	0	0
11.8.1007	0	0
11.8.1008	0	0
11.8.1009	0	0
11.8.1010	0	0
11.8.1011	0	0
11.8.1012	0	0
11.8.1013	0	0
11.9	0	255
11.9.1	0	0
11.9.2	28	131
11.9.2.1	94	94
11.9.2.2	9	9
11.9.3	14	57
11.9.3.1	15	15
11.9.3.2	6	6
11.9.3.3	18	18
11.9.3.4	1	1
11.9.3.5	3	3
11.9.4	0	67
11.9.4.2	14	14
11.9.4.3	5	5
11.9.4.4	0	0
11.9.4.5	16	16
11.9.4.9	11	11
11.9.4.13	21	21
11.9.4.14	0	0
11.9.4.99	0	0
11.10	0	21
11.10.1	4	4
11.10.2	11	11
11.10.3	1	1
11.10.4	5	5
