0	1
1	428
1.1	263
1.1.1	109
1.1.1.1	45
1.1.1.2	61
1.1.1.3	1
1.1.1.4	1
1.1.2	30
1.1.2.1	6
1.1.2.2	20
1.1.2.3	1
1.1.3	9
1.1.3.1	1
1.1.3.2	1
1.1.3.3	1
1.1.3.4	2
1.1.3.5	1
1.1.4	19
1.1.4.1	1
1.1.4.2	1
1.1.4.3	1
1.1.4.4	2
1.1.4.5	1
1.1.4.6	1
1.1.4.7	2
1.1.4.8	1
1.1.4.9	1
1.1.5	38
1.1.5.1	1
1.1.5.2	24
1.1.5.3	7
1.1.5.4	5
1.1.6	17
1.1.30	5
1.1.40	24
1.1.50	1
1.1.60	1
1.1.70	3
1.1.70.1	1
1.1.70.2	1
1.1.99	2
1.1.99.1	1
1.1.1001	1
1.1.1002	1
1.1.1003	1
1.1.1004	1
1.2	61
1.2.1	1
1.2.2	16
1.2.3	2
1.2.4	7
1.2.4.1	1
1.2.4.2	1
1.2.4.3	1
1.2.4.4	3
1.2.5	15
1.2.6	7
1.2.7	3
1.2.1001	1
1.2.1002	1
1.2.1003	1
1.2.1004	1
1.2.1005	1
1.2.1006	1
1.3	98
1.3.1	1
1.3.2	11
1.3.3	11
1.3.4	5
1.3.5	6
1.3.6	15
1.3.7	11
1.3.8	3
1.3.9	2
1.3.10	1
1.3.11	2
1.3.12	1
1.3.13	20
1.3.1001	1
1.3.1002	1
1.3.1003	1
1.3.1004	1
1.3.1005	1
1.3.1006	1
1.3.1007	1
1.4	1
1.5	4
1.5.1	1
1.5.2	1
1.5.3	1
2	230
2.1	77
2.1.1	23
2.1.1.1	7
2.1.1.2	6
2.1.1.3	1
2.1.1.1001	1
2.1.1.1002	1
2.1.1.1003	1
2.1.1.1004	1
2.1.1.1005	1
2.1.1.1006	1
2.1.1.1007	1
2.1.1.1008	1
2.1.2	53
2.1.2.1	10
2.1.2.2	13
2.1.2.3	3
2.1.2.4	5
2.1.2.5	3
2.1.2.60	4
2.1.2.1001	1
2.1.2.1002	1
2.1.2.1003	1
2.1.2.1004	1
2.2	152
2.2.1	86
2.2.1.1	12
2.2.1.3	39
2.2.1.3.1	20
2.2.1.3.2	15
2.2.1.3.3	2
2.2.1.3.30	1
2.2.1.4	14
2.2.1.5	14
2.2.1.99	4
2.2.1.1001	1
2.2.1.1002	1
2.2.2	61
2.2.2.1	27
2.2.2.1.1	2
2.2.2.1.2	10
2.2.2.2	10
2.2.2.3	4
2.2.2.4	3
2.2.2.6	6
2.2.2.8	1
2.2.2.9	1
2.2.2.10	4
2.2.2.1001	1
2.2.2.1002	1
2.2.2.1003	1
2.2.2.1004	1
2.2.10	4
2.2.10.1	1
